question_id,row_id,complexity,question_type,legal_domain,Hit@1,MRR@10,nDCG@10,DocRecall@10,SourceRecall@10,TopScore,TopChunk,GoldChunk,Recall@1,Recall@3,Recall@5,Recall@10,System
TEST_0021,46,simple,deadline,family_law,0,0.0,0.0,1,1,0.032018442622950824,123,74,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0020,47,simple,deadline,family_law,0,0.25,0.43067655807339306,1,1,0.06226724664224664,64,55,0.0,0.0,1.0,1.0,Adaptive Legal RAG
TEST_0018,48,simple,deadline,family_law,1,1.0,1.0,1,1,0.03278688524590164,44,44,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0017,49,simple,deadline,family_law,0,0.0,0.0,0,0,0.06078051603998308,3,463,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0028,50,simple,deadline,other,0,0.0,0.0,0,0,0.03200204813108039,35,441,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0031,51,moderate,deadline,other,0,0.5,0.6309297535714575,1,1,0.032266458495966696,13,75,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0030,52,moderate,deadline,other,0,0.3333333333333333,0.5,1,1,0.03252247488101534,51,507,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0029,53,moderate,definition,other,1,1.0,1.0,1,1,0.03278688524590164,373,373,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0026,54,simple,deadline,other,1,1.0,1.0,1,1,0.03278688524590164,103,103,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0027,55,simple,deadline,other,1,1.0,1.0,1,1,0.03252247488101534,94,94,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0025,56,simple,deadline,other,0,0.5,0.6309297535714575,1,1,0.03252247488101534,20,82,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0129,57,complex,deadline,family_law,0,0.14285714285714285,0.3333333333333333,1,1,0.03131881575727918,75,108,0.0,0.0,0.0,1.0,Adaptive Legal RAG
TEST_0143,58,moderate,deadline,family_law,1,1.0,1.0,1,1,0.03278688524590164,590,590,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0141,59,moderate,deadline,family_law,1,1.0,1.0,1,1,0.032018442622950824,298,298,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0140,60,moderate,deadline,family_law,0,0.0,0.0,0,0,0.10603892342092523,0,328,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0139,61,moderate,deadline,family_law,0,0.3333333333333333,0.5,1,1,0.10802526776581002,0,63,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0152,62,complex,definition,civil_law,0,0.14285714285714285,0.3333333333333333,1,1,0.046494801754268796,264,963,0.0,0.0,0.0,1.0,Adaptive Legal RAG
TEST_0151,63,complex,deadline,civil_law,1,1.0,1.0,1,1,0.03125763125763126,386,386,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0149,64,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.03278688524590164,70,560,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0148,65,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.03278688524590164,987,986,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0146,66,moderate,deadline,family_law,0,0.0,0.0,0,0,0.058409723396172224,0,471,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0145,67,moderate,deadline,family_law,1,1.0,1.0,1,1,0.03252247488101534,620,620,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0160,68,simple,deadline,civil_law,1,1.0,1.0,1,1,0.03278688524590164,353,353,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0157,69,complex,definition,social_law,1,1.0,1.0,1,1,0.03278688524590164,1044,1044,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0156,70,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.03252247488101534,583,999,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0155,71,complex,deadline,civil_law,1,1.0,1.0,1,1,0.03278688524590164,994,994,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0154,72,complex,deadline,civil_law,1,1.0,1.0,1,1,0.03252247488101534,290,290,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0153,73,complex,deadline,civil_law,1,1.0,1.0,1,1,0.03200204813108039,93,93,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0104,74,moderate,definition,tax_law,0,0.3333333333333333,0.5,1,1,0.03252247488101534,19,710,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0103,75,moderate,deadline,tax_law,0,0.0,0.0,0,0,0.0467592121191551,7,24,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0102,76,moderate,definition,tax_law,0,0.0,0.0,0,0,0.04692957315908136,4,766,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0099,77,simple,deadline,administrative_law,0,0.0,0.0,1,0,0.030330882352941176,63,225,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0098,78,simple,deadline,administrative_law,1,1.0,1.0,1,1,0.061936788166296365,57,57,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0112,79,moderate,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.03278688524590164,269,270,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0111,80,moderate,definition,civil_law,1,1.0,1.0,1,1,0.031544957774465976,126,126,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0110,81,moderate,definition,tax_law,0,0.5,0.6309297535714575,1,1,0.03252247488101534,275,357,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0109,82,moderate,deadline,tax_law,0,0.14285714285714285,0.3333333333333333,1,1,0.030679156908665108,1013,1002,0.0,0.0,0.0,1.0,Adaptive Legal RAG
TEST_0108,83,moderate,deadline,tax_law,1,1.0,1.0,1,1,0.03252247488101534,639,639,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0107,84,moderate,fact_lookup,tax_law,0,0.2,0.38685280723454163,1,1,0.030798389007344232,763,753,0.0,0.0,1.0,1.0,Adaptive Legal RAG
TEST_0106,85,moderate,deadline,tax_law,0,0.5,0.6309297535714575,1,1,0.03252247488101534,524,683,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0105,86,moderate,deadline,tax_law,1,1.0,1.0,1,1,0.03252247488101534,768,768,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0119,87,moderate,deadline,civil_law,1,1.0,1.0,1,1,0.03036576949620428,537,537,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0116,88,moderate,deadline,civil_law,1,1.0,1.0,1,1,0.03125,109,109,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0115,89,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.032266458495966696,672,671,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0184,90,complex,deadline,tax_law,0,0.0,0.0,1,1,0.03252247488101534,707,954,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0131,91,complex,deadline,family_law,1,1.0,1.0,1,1,0.03278688524590164,306,306,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0132,92,complex,deadline,family_law,1,1.0,1.0,1,1,0.03252247488101534,846,846,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0133,93,complex,deadline,family_law,1,1.0,1.0,1,1,0.03278688524590164,845,845,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0135,94,complex,deadline,family_law,1,1.0,1.0,1,1,0.03252247488101534,364,364,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0136,95,complex,definition,family_law,1,1.0,1.0,1,1,0.03252247488101534,478,478,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0188,96,moderate,deadline,other,1,1.0,1.0,1,1,0.03278688524590164,873,873,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0189,97,complex,deadline,tax_law,1,1.0,1.0,1,1,0.03278688524590164,857,857,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0190,98,complex,definition,civil_law,0,0.3333333333333333,0.5,1,1,0.032018442622950824,1010,1003,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0191,99,moderate,deadline,tax_law,1,1.0,1.0,1,1,0.03278688524590164,950,950,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0177,100,complex,deadline,tax_law,1,1.0,1.0,1,1,0.03252247488101534,713,713,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0178,101,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.03252247488101534,194,255,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0180,102,complex,deadline,tax_law,0,0.5,0.6309297535714575,1,1,0.032266458495966696,36,799,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0181,103,complex,deadline,civil_law,1,1.0,1.0,1,1,0.03278688524590164,511,511,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0182,104,complex,deadline,civil_law,0,0.0,0.0,0,0,0.030776515151515152,32,104,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0183,105,moderate,deadline,civil_law,0,0.25,0.43067655807339306,1,1,0.03131881575727918,75,79,0.0,0.0,1.0,1.0,Adaptive Legal RAG
TEST_0162,106,complex,definition,tax_law,0,0.25,0.43067655807339306,1,1,0.03125763125763126,27,720,0.0,0.0,1.0,1.0,Adaptive Legal RAG
TEST_0169,107,moderate,definition,civil_law,0,0.5,0.6309297535714575,1,1,0.03252247488101534,358,359,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0170,108,moderate,deadline,other,0,0.0,0.0,0,0,0.032018442622950824,112,621,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0171,109,moderate,definition,tax_law,0,0.5,0.6309297535714575,1,1,0.03252247488101534,1049,1050,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0172,110,complex,deadline,civil_law,0,0.3333333333333333,0.5,1,1,0.01639344262295082,608,395,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0173,111,complex,definition,tax_law,1,1.0,1.0,1,1,0.03278688524590164,974,974,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0174,112,simple,definition,tax_law,1,1.0,1.0,1,1,0.03252247488101534,618,618,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0161,113,simple,fact_lookup,civil_law,1,1.0,1.0,1,1,0.03278688524590164,429,429,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0167,114,moderate,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.032266458495966696,586,583,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0164,115,moderate,deadline,family_law,0,0.25,0.43067655807339306,1,1,0.046679405392392875,4,321,0.0,0.0,1.0,1.0,Adaptive Legal RAG
TEST_0165,116,simple,deadline,civil_law,0,0.25,0.43067655807339306,1,1,0.030834914611005692,5,432,0.0,0.0,1.0,1.0,Adaptive Legal RAG
TEST_0166,117,complex,deadline,civil_law,0,0.16666666666666666,0.3562071871080222,1,1,0.03200204813108039,54,609,0.0,0.0,0.0,1.0,Adaptive Legal RAG
TEST_0094,118,simple,deadline,labor_law,1,1.0,1.0,1,1,0.03252247488101534,87,87,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0093,119,simple,deadline,labor_law,0,0.3333333333333333,0.5,1,1,0.031024531024531024,92,99,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0095,120,simple,deadline,labor_law,0,0.25,0.43067655807339306,1,1,0.032266458495966696,81,73,0.0,0.0,1.0,1.0,Adaptive Legal RAG
TEST_0193,121,moderate,deadline,civil_law,1,1.0,1.0,1,1,0.03278688524590164,56,56,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0208,122,moderate,fact_lookup,civil_law,0,0.0,0.0,1,1,0.01639344262295082,896,900,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0206,123,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.01639344262295082,399,556,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0205,124,complex,definition,tax_law,1,1.0,1.0,1,1,0.031544957774465976,1033,1033,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0204,125,complex,deadline,tax_law,1,1.0,1.0,1,1,0.03177805800756621,712,712,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0203,126,simple,deadline,civil_law,1,1.0,1.0,1,1,0.031754032258064516,337,337,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0201,127,moderate,deadline,tax_law,1,1.0,1.0,1,1,0.03149801587301587,252,252,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0216,128,moderate,deadline,tax_law,1,1.0,1.0,1,1,0.03278688524590164,774,774,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0214,129,complex,definition,tax_law,0,0.0,0.0,1,1,0.01639344262295082,478,830,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0213,130,complex,deadline,civil_law,1,1.0,1.0,1,1,0.03252247488101534,584,584,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0212,131,complex,definition,civil_law,0,0.5,0.6309297535714575,1,1,0.03278688524590164,669,755,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0211,132,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.03252247488101534,11,889,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0209,133,simple,definition,civil_law,1,1.0,1.0,1,1,0.03278688524590164,571,571,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0223,134,complex,deadline,civil_law,1,1.0,1.0,1,1,0.032018442622950824,287,287,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0222,135,complex,deadline,tax_law,0,0.16666666666666666,0.3562071871080222,1,1,0.03149801587301587,18,1001,0.0,0.0,0.0,1.0,Adaptive Legal RAG
TEST_0220,136,simple,definition,civil_law,0,0.0,0.0,1,1,0.032266458495966696,18,232,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0219,137,complex,definition,civil_law,1,1.0,1.0,1,1,0.03278688524590164,829,829,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0218,138,complex,definition,tax_law,1,1.0,1.0,1,1,0.03252247488101534,882,882,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0072,139,complex,deadline,other,0,0.0,0.0,0,0,0.03055037313432836,0,625,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0071,140,complex,definition,other,1,1.0,1.0,1,1,0.03278688524590164,460,460,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0070,141,complex,deadline,other,1,1.0,1.0,1,1,0.03278688524590164,839,839,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0069,142,complex,deadline,other,0,0.5,0.6309297535714575,1,1,0.032266458495966696,213,615,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0080,143,complex,deadline,tax_law,0,0.25,0.43067655807339306,1,1,0.09365174624130075,3,931,0.0,0.0,1.0,1.0,Adaptive Legal RAG
TEST_0079,144,complex,deadline,migration_law,0,0.1111111111111111,0.3010299956639812,1,1,0.03252247488101534,794,832,0.0,0.0,0.0,1.0,Adaptive Legal RAG
TEST_0078,145,complex,deadline,migration_law,0,0.0,0.0,1,1,0.030621785881252923,931,847,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0077,146,complex,deadline,migration_law,1,1.0,1.0,1,1,0.03278688524590164,597,597,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0076,147,complex,deadline,migration_law,0,0.0,0.0,1,1,0.03125763125763126,6,850,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0075,148,complex,deadline,migration_law,0,0.2,0.38685280723454163,1,1,0.03149801587301587,165,365,0.0,0.0,1.0,1.0,Adaptive Legal RAG
TEST_0074,149,complex,deadline,migration_law,0,0.25,0.43067655807339306,1,1,0.03252247488101534,53,42,0.0,0.0,1.0,1.0,Adaptive Legal RAG
TEST_0073,150,moderate,deadline,administrative_law,1,1.0,1.0,1,1,0.032266458495966696,896,896,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0088,151,complex,definition,tax_law,0,0.0,0.0,1,1,0.031746031746031744,482,1046,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0083,152,complex,definition,tax_law,1,1.0,1.0,1,1,0.03252247488101534,707,707,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0081,153,complex,deadline,tax_law,1,1.0,1.0,1,1,0.03252247488101534,926,926,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0034,154,moderate,deadline,other,1,1.0,1.0,1,1,0.03252247488101534,436,436,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0194,155,complex,deadline,civil_law,1,1.0,1.0,1,1,0.03278688524590164,505,505,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0195,156,complex,deadline,civil_law,1,1.0,1.0,1,1,0.03149801587301587,724,724,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0197,157,moderate,definition,civil_law,1,1.0,1.0,1,1,0.03252247488101534,315,315,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0200,158,moderate,deadline,tax_law,1,1.0,1.0,1,1,0.03278688524590164,946,946,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0061,159,complex,deadline,labor_law,1,1.0,1.0,1,1,0.03278688524590164,461,461,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0232,160,moderate,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.03252247488101534,27,89,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0059,161,moderate,deadline,social_law,1,1.0,1.0,1,1,0.03278688524590164,1045,1045,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0239,162,simple,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.03200204813108039,78,594,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0225,163,moderate,deadline,civil_law,0,0.14285714285714285,0.3333333333333333,1,1,0.06264022850420374,0,119,0.0,0.0,0.0,1.0,Adaptive Legal RAG
TEST_0228,164,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.03252247488101534,907,885,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0229,165,complex,definition,civil_law,0,0.25,0.43067655807339306,1,1,0.03200204813108039,670,669,0.0,0.0,1.0,1.0,Adaptive Legal RAG
TEST_0231,166,moderate,definition,tax_law,1,1.0,1.0,1,1,0.03278688524590164,1049,1049,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0233,167,moderate,deadline,labor_law,1,1.0,1.0,1,1,0.032266458495966696,81,81,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0238,168,complex,definition,civil_law,0,0.5,0.6309297535714575,1,1,0.03200204813108039,2,336,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0236,169,complex,deadline,tax_law,0,0.5,0.6309297535714575,1,1,0.03252247488101534,860,862,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0045,170,simple,definition,civil_law,1,1.0,1.0,1,1,0.03278688524590164,985,985,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0033,171,moderate,deadline,other,0,0.3333333333333333,0.5,1,1,0.04348435026184387,24,464,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0047,172,simple,deadline,civil_law,0,0.0,0.0,1,1,0.03252247488101534,111,543,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0001,173,simple,definition,migration_law,0,0.5,0.6309297535714575,1,1,0.03149801587301587,43,39,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0038,174,simple,deadline,education_law,0,0.3333333333333333,0.5,0,0,0.12044386980531864,0,19,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0037,175,moderate,deadline,other,0,0.5,0.6309297535714575,1,1,0.03252247488101534,913,836,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0036,176,moderate,deadline,other,1,1.0,1.0,1,1,0.03278688524590164,85,85,1.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0035,177,moderate,deadline,other,0,0.0,0.0,0,0,0.030798389007344232,12,473,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0050,178,simple,deadline,civil_law,0,0.3333333333333333,0.5,1,1,0.04630415690866511,8,1007,0.0,1.0,1.0,1.0,Adaptive Legal RAG
TEST_0054,179,moderate,deadline,health_law,0,0.0,0.0,1,1,0.030017921146953404,57,125,0.0,0.0,0.0,0.0,Adaptive Legal RAG
TEST_0053,180,simple,deadline,civil_law,0,0.2,0.38685280723454163,1,1,0.04624678588125292,1,59,0.0,0.0,1.0,1.0,Adaptive Legal RAG
TEST_0046,181,simple,deadline,civil_law,0,0.0,0.0,0,0,0.030834914611005692,7,13,0.0,0.0,0.0,0.0,Adaptive Legal RAG
